0	mijiadezhongshifensi，zheshidiwucimaimijiadeshoujile，xiwangzheciyeshibangbangda。	米_家__的_忠____实__粉__丝_，这__是__第_五_次_买__米_家__的_手___机_了_，希_望___这__次_也_是__棒___棒___哒_。
1	xianyongjitian，guohouzhuiping。	先___用___几_天___，过__后__追___评___。
2	guanfangtaixiaoqi，liangemoyebugei。	官___方___太__小___气_，连___个_膜_也_不_给__。
3	shoujihaibucuo。	手___机_还__不_错__。
4	kefuconglaibushuohua！	客_服_从___来__不_说___话__！
5	bangtongshimaide，tafanyingshoujicaozuozhengchang，meiyoushenmewenti。	帮___同___事__买__的_，他_反__映___手___机_操__作__正____常____，没__有__什___么_问__题_。
6	tebiehao，fahuohenkuai，zan。	特_别__好__，发_货__很__快___，赞__。
7	ganggangdemeihuashuo，kefukuaididougeili，haoping！	杠___杠___的_没__话__说___，客_服_快___递_都__给__力_，好__评___！
8	chaojiyumendeyiciwanggou，nameduoniandiyicichaping，kefuzhenlalaji，wanwenziyouxi，dianxingdediandaqike。	超___级_郁_闷__的_一_次_网___购__，那_么_多__年___第_一_次_差__评___，客_服_真___拉_垃_圾_，玩__文__字_游__戏_，典___型___的_店___大_欺_客_。
9	xiaomifensi，zhekuanneicuntingshiyong，yongdeshidi4gexiaomishoujile。	小___米_粉__丝_，这__款___内__存__挺___实__用___，用___的_是__第_4个_小___米_手___机_了_。
10	geijiejiemaide，tahenxihuan，zhunbeizairushouyigegaopeibande。	给__姐__姐__买__的_，她_很__喜_欢___，准___备__再__入_手___一_个_高__配__版__的_。
11	zongtilaishuohaoping。	总___体_来__说___好__评___。
12	shoujikanzhehengaodashang，haimeilaidejiyong，yinggaibucuo，jiushifahuosudutaimanle，pailesantianhoucaigeifadehuo。	手___机_看__着__很__高__大_上____，还__没__来__得_及_用___，应___该__不_错__，就__是__发_货__速_度_太__慢__了_，拍__了_三__天___后__才__给__发_的_货__。
13	yonglebangeyuezuoyouhuilaixiexiexinde，zuidadehaochushixuhang，qingdushiyongjibennengyongshangsansitian。	用___了_半__个_月__左__右__回__来__写__写__心__得_，最__大_的_好__处__是__续_航___，轻___度_使__用___基_本__能___用___上____三__四_天___。
14	shoujishoudaohenxihuan，yizhidouyongxiaomibuyongqitapaizishouji，jiushiwuliutaiman，dengleyitianyouyitian，dengdengdengdengdengdeng。	手___机_收___到__很__喜_欢___，一_直__都__用___小___米_不_用___其_它_牌__子_手___机_，就__是__物_流__太__慢__，等___了_一_天___又__一_天___，等___等___等___等___等___等___。
15	fahuochaojiman，cuilewushuci，tiantiandoushirangdengdengdeng，wuyu！	发_货__超___级_慢__，催__了_无_数__次_，天___天___都__是__让___等___等___等___，无_语_！
16	dongxihenhao，zhengpin，yaoshinengdedaomeizidehuifujiugenghaole。	东___西_很__好__，正____品__，要__是__能___得_到__妹__子_的_回__复_就__更___好__了_。
17	zan，xiaomichuji，henhao。	赞__，小___米_出__机_，很__好__。
18	bangtongshimaidechaoxihuanyonghenbucuo，xingjiabigao，zhichixiaomi。	帮___同___事__买__的_超___喜_欢___用___很__不_错__，性___价__比_高__，支__持__小___米_。
19	jiguolai！	寄_过__来__！
20	zhegeshidisigexiaomi！	这__个_是__第_四_个_小___米_！
21	tongyangwenti！	同___样___问__题_！
22	xinhana！	心__寒__啊！
23	disangeshoujiyonglekuaiyinianle。	第_三__个_手___机_用___了_快___一_年___了_。
24	zhaodaoshouhou！	找___到__售___后__！
25	guzhangyijiu！	故_障____依_旧__！
26	xiacijueduibumaixiaomi！	下__次_绝__对__不_买__小___米_！
27	shoujimailexindediertianjiufaxianchongdianshibunengguanji，youwenti！	手___机_买__了_新__的_第_二_天___就__发_现___充____电___时__不_能___关___机_，有__问__题_！
28	shuoyouwentidebaoxiaoyunfei！	说___有__问__题_的_报__销___运__费__！
29	zhaodaodangdishouhougenhuandianchijiejuewenti！	找___到__当___地_售___后__跟__换___电___池__解__决__问__题_！
30	lianxikefuyouyaojiance！	联___系_客_服_又__要__检___测_！
31	dadeyunfeifapiao，jieguoyoujihuilaile！	打_的_运__费__发_票___，结__果__又__寄_回__来__了_！
32	bugeihuanhuo！	不_给__换___货__！
33	jiancehoushuoshiruanjianwenti。	检___测_后__说___是__软___件___问__题_。
34	xiaomi4laoshizidongduandian！	小___米_4老__是__自_动___断___电___！
35	shuozhubanhuaile！	说___主__板__坏___了_！
36	chedijuewang。	彻__底_绝__望___。
37	jihuiqu。	寄_回__去_。
38	mashangguobaoxiuqishouhoutuozhebugeixiu！	马_上____过__保__修__期_售___后__拖__着__不_给__修__！
39	shouhouzhenxinbuxing！	售___后__真___心__不_行___！
40	zuijinhuilaojia！	最__近__回__老__家__！
41	yongguoshoujiderendouyouchangshi！	用___过__手___机_的_人__都__有__常____识__！
42	shiwenbeijingshouhouzenmehuizheyangzi！	试__问__北__京___售___后__怎__么_会__这__样___子_！
43	dianchibuxingle！	电___池__不_行___了_！
44	tuixiezeren！	推__卸__责_任__！
45	haibunengdangshigenghuan！	还__不_能___当___时__更___换___！
46	zhiqianmeipengdaoguozhegewenti！	之__前___没__碰___到__过__这__个_问__题_！
47	shuajixiufu！	刷___机_修__复_！
48	suanlelandezhetengle！	算___了_懒__得_折__腾___了_！
